,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,AÑO AGRÍCOLA 2019-2020
,,,,,,,,,
CULTIVO,MODALIDAD,DISTRITO,,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,ha,ha,ton/ha,ton,$/ton,$
,,105,"Nexpa, Gro.",  150 ,  150 ,"  14,0 ",  2.100 ,  2.500 ,  5.250.000 
,,107,"San Gregorio, Chis.",  230 ,  230 ,"  28,0 ",  6.440 ,  4.900 ,  31.556.000 
,,110,"Rio Verde-Progreso, Oax.",  811 ,  811 ,"  22,0 ",  17.842 ,  10.000 ,  178.420.000 
Total Limón,,,,  42.850 ,  42.715 ,"  20,7 ",  884.271 ,  5.156 ,  4.559.460.427 
Limón Asociado,,053,"Edo. De Colima, Col.",  575 ,  575 ,"  13,0 ",  7.466 ,  6.894 ,  51.473.500 
Total Limón Asociado,,,,  575 ,  575 ,"  13,0 ",  7.466 ,  6.894 ,  51.473.500 
Litchi,,043,"Edo. De Nayarit, Nay.",  10 ,  10 ,"  0,6 ",  6 ,  25.850 ,  149.780 
Total Litchi,,,,  10 ,  10 ,"  0,6 ",  6 ,  25.850 ,  149.780 
Maíz Asociado,,010,"Culiacan-Humaya, Sin.",  2.685 ,  2.685 ,"  10,8 ",  29.105 ,  4.150 ,  120.787.410 
,,048,"Ticul, Yuc.",  357 ,  206 ,"  5,5 ",  1.132 ,  3.861 ,  4.370.750 
,,085,"La Begoña, Gto.",  2.155 ,  2.155 ,"  10,2 ",  21.996 ,  4.500 ,  98.980.920 
,,109,"Río San Lorenzo, Sin.",  14 ,  14 ,"  12,6 ",  176 ,  3.607 ,  636.268 
Total Maíz Asociado,,,,  5.211 ,  5.059 ,"  10,4 ",  52.410 ,  4.289 ,  224.775.347 
Maíz Elotero,,011,"Alto Rio Lerma, Gto.",  37 ,  37 ,"  21,1 ",  779 ,  2.000 ,  1.558.024 
,,013,"Edo. De Jalisco, Jal.",  44 ,  44 ,"  15,6 ",  686 ,  2.143 ,  1.470.850 
,,016,"Edo.De Morelos, Mor.",  2.563 ,  2.563 ,"  28,0 ",  71.764 ,  2.345 ,  168.301.308 
,,038,"Rio Mayo, Son.",  541 ,  541 ,"  10,0 ",  5.401 ,  2.550 ,  13.773.807 
,,045,"Tuxpan, Mich.",  662 ,  662 ,"  21,0 ",  13.902 ,  1.600 ,  22.243.200 
,,049,"Rio Verde, S.L.P.",  1.600 ,  1.600 ,"  17,0 ",  27.200 ,  3.994 ,  108.637.140 
,,052,"Edo. De Durango, Dgo.",  17 ,  17 ,"  9,0 ",  149 ,  4.800 ,  715.392 
,,053,"Edo. De Colima, Col.",  1.730 ,  1.730 ,"  16,8 ",  29.080 ,  3.145 ,  91.461.020 
,,063,"Guasave, Sin.",  288 ,  288 ,"  30,0 ",  8.650 ,  2.500 ,  21.624.750 
,,074,"Mocorito, Sin.",  136 ,  136 ,"  25,0 ",  3.400 ,  1.500 ,  5.100.000 
,,075,"Rio Fuerte, Sin.",  263 ,  263 ,"  17,9 ",  4.702 ,  2.829 ,  13.302.252 
,,082,"Rio Blanco, Ver.",  1.158 ,  1.158 ,"  13,8 ",  15.948 ,  1.674 ,  26.690.519 
,,084,"Guaymas, Son.",  68 ,  68 ,"  15,4 ",  1.054 ,  4.221 ,  4.447.682 
,,094,"Jalisco Sur, Jal.",  799 ,  799 ,"  31,5 ",  25.163 ,  1.382 ,  34.776.975 
,,097,"Lazaro Cardenas, Mich.",  1.322 ,  1.322 ,"  6,0 ",  7.875 ,  4.352 ,  34.271.200 
,,111,"Baluarte-Presidio, Sin.",  800 ,  800 ,"  17,5 ",  13.999 ,  3.320 ,  46.480.017 
Total Maíz Elotero,,,,  12.027 ,  12.027 ,"  19,1 ",  229.752 ,  2.589 ,  594.854.135 
Maíz Forrajero,Verde,001,"Pabellón, Ags.",  3.556 ,  3.556 ,"  72,2 ",  256.651 ,  711 ,  182.576.104 
,,005,"Cd. Delicias, Chih.",  8.044 ,  8.044 ,"  75,0 ",  603.300 ,  800 ,  482.640.000 
,,013,"Edo. De Jalisco, Jal.",  1.223 ,  1.223 ,"  40,0 ",  48.947 ,  700 ,  34.262.900 
,,017,"Region Lagunera,Coah.Dgo.",  14.932 ,  14.932 ,"  42,8 ",  639.240 ,  888 ,  567.413.198 
,,028,"Tulancingo, Hgo.",  61 ,  61 ,"  42,3 ",  2.580 ,  551 ,  1.421.745 
,,034,"Edo. De Zacatecas, Zac.",  2.613 ,  2.613 ,"  15,4 ",  40.196 ,  3.682 ,  147.988.602 
,,052,"Edo. De Durango, Dgo.",  3.666 ,  3.666 ,"  50,2 ",  183.868 ,  651 ,  119.752.038 
,,053,"Edo. De Colima, Col.",  3 ,  3 ,"  32,0 ",  96 ,  300 ,  28.800 
,,056,"Atoyac-Zahuapan, Tlax.",  322 ,  322 ,"  25,0 ",  8.050 ,  780 ,  6.279.000 
,,073,"La Concepcion, Mex.",  50 ,  50 ,"  90,0 ",  4.500 ,  290 ,  1.305.000 
,,088,"Chiconautla, Mex.",  1.200 ,  1.200 ,"  80,0 ",  96.000 ,  280 ,  26.880.000 
,,089,"El Carmen, Chih.",  76 ,  76 ,"  70,0 ",  5.320 ,  600 ,  3.192.000 
,,092B,"Rio Panuco, Unidad Chicayán.",  60 ,  60 ,"  38,0 ",  2.280 ,  650 ,  1.482.000 
,,103,"Rio Florido, Chih.",  427 ,  427 ,"  45,6 ",  19.471 ,  700 ,  13.629.350 
,,113,"Alto Río Conchos, Chih.",  260 ,  260 ,"  36,0 ",  9.360 ,  760 ,  7.113.600 
Total Maíz Forrajero,,,,  36.493 ,  36.493 ,"  52,6 ",  1.919.858 ,  831 ,  1.595.964.338 
Maíz grano,,001,"Pabellón, Ags.",  1.119 ,  1.119 ,"  12,3 ",  13.742 ,  5.400 ,  74.207.340 
,,003,"Tula, Hgo.",  21.283 ,  21.283 ,"  13,0 ",  276.022 ,  4.700 ,  1.297.303.400 
,,004,"Don Martín, N.L.",  136 ,  136 ,"  4,3 ",  579 ,  3.465 ,  2.005.685 
,,006,"Palestina, Coah.",  223 ,  223 ,"  3,5 ",  771 ,  3.300 ,  2.543.751 
,,008,"Meztitlan, Hgo.",  1.504 ,  1.504 ,"  12,3 ",  18.469 ,  4.610 ,  85.142.496 
,,010,"Culiacan-Humaya, Sin.",  162.783 ,  162.783 ,"  13,0 ",  2.109.402 ,  3.602 ,  7.598.592.854 
,,011,"Alto Rio Lerma, Gto.",  69.365 ,  69.365 ,"  12,3 ",  849.876 ,  4.492 ,  3.817.612.197 
,,013,"Edo. De Jalisco, Jal.",  25.132 ,  25.132 ,"  4,8 ",  120.455 ,  4.917 ,  592.291.504 
,,014,"Rio Colorado, BC.",  3.060 ,  3.060 ,"  12,1 ",  37.026 ,  4.500 ,  166.624.405 
,,017,"Region Lagunera,Coah.Dgo.",  509 ,  509 ,"  3,9 ",  2.009 ,  4.092 ,  8.219.475 
,,018,"Colonias Yaquis, Son.",  825 ,  825 ,"  11,6 ",  9.555 ,  3.647 ,  34.846.707 
,,019,"Tehuantepec, Oax.",  4.089 ,  4.089 ,"  2,5 ",  10.221 ,  4.100 ,  41.907.330 
,,020,"Morelia, Mich.",  9.614 ,  9.614 ,"  9,2 ",  88.864 ,  4.751 ,  422.182.650 
,,023,"San Juan Del Rio, Qro.",  3.106 ,  3.106 ,"  13,8 ",  42.911 ,  4.609 ,  197.775.713 
,,024,"Cienega De Chapala, Mich.",  3.732 ,  3.732 ,"  9,2 ",  34.456 ,  4.267 ,  147.013.892 
,,025,"Bajo Rio Bravo, Tamps.",  24.309 ,  24.309 ,"  5,2 ",  126.802 ,  4.150 ,  526.229.103 
,,026,"Bajo Rio San Juan, Tamps.",  40.170 ,  40.009 ,"  5,9 ",  235.442 ,  4.150 ,  977.085.187 
,,029,"Xicotencatl, Tamps.",  250 ,  250 ,"  5,5 ",  1.375 ,  3.750 ,  5.156.250 
,,030,"Valsequillo, Pue.",  15.224 ,  15.224 ,"  10,0 ",  152.312 ,  4.565 ,  695.318.530 
,,031,"Las Lajas, N.L.",  296 ,  294 ,"  1,5 ",  432 ,  4.150 ,  1.793.547 
,,033,"Edo. De Mexico, Mex.",  2.886 ,  2.886 ,"  3,0 ",  8.658 ,  2.500 ,  21.645.000 
,,034,"Edo. De Zacatecas, Zac.",  2.403 ,  2.403 ,"  8,5 ",  20.418 ,  4.036 ,  82.414.435 
,,035,"La Antigua, Ver.",  68 ,  68 ,"  5,7 ",  388 ,  5.000 ,  1.941.550 
,,037,"Altar Pitiquito, Son.",  4 ,  4 ,"  4,5 ",  18 ,  5.111 ,  92.000 
,,038,"Rio Mayo, Son.",  2.737 ,  2.737 ,"  9,9 ",  27.045 ,  3.907 ,  105.664.499 
,,041,"Rio Yaqui, Son.",  44.852 ,  44.852 ,"  12,0 ",  535.985 ,  3.712 ,  1.989.574.490 
,,042,"Buenaventura, Chih.",  544 ,  544 ,"  5,5 ",  2.990 ,  3.700 ,  11.064.295 
,,043,"Edo. De Nayarit, Nay.",  9.234 ,  9.234 ,"  8,9 ",  81.792 ,  4.686 ,  383.303.043 
,,044,"Jilotepec, Mex.",  1.862 ,  1.862 ,"  3,4 ",  6.331 ,  3.000 ,  18.992.400 
,,045,"Tuxpan, Mich.",  7.130 ,  7.130 ,"  7,0 ",  49.911 ,  4.200 ,  209.624.940 
,,046,"Cacahoatan, Chis.",  122 ,  122 ,"  4,6 ",  561 ,  4.350 ,  2.441.220 
,,052,"Edo. De Durango, Dgo.",  3.234 ,  3.101 ,"  7,3 ",  22.535 ,  4.342 ,  97.846.133 
,,053,"Edo. De Colima, Col.",  170 ,  170 ,"  6,7 ",  1.142 ,  4.505 ,  5.142.654 
,,056,"Atoyac-Zahuapan, Tlax.",  2.156 ,  2.156 ,"  6,5 ",  14.014 ,  4.800 ,  67.267.200 
,,057,"Amuco Cutzamala, Gro.",  5.925 ,  5.925 ,"  6,6 ",  38.854 ,  3.765 ,  146.275.312 
,,060,"El Higo, Ver.",  130 ,  130 ,"  2,1 ",  273 ,  4.500 ,  1.228.500 
,,061,"Zamora, Mich.",  3.927 ,  3.927 ,"  7,7 ",  30.319 ,  3.958 ,  120.008.906 
,,063,"Guasave, Sin.",  75.982 ,  75.982 ,"  11,9 ",  901.548 ,  3.800 ,  3.425.881.573 
,,066,"Sto. Domingo, Bcs.",  4.092 ,  4.092 ,"  7,9 ",  32.283 ,  4.521 ,  145.950.525 
,,068,"Tepecoacuilco, Gro.",  337 ,  337 ,"  5,5 ",  1.845 ,  3.855 ,  7.111.099 
,,073,"La Concepcion, Mex.",  10 ,  10 ,"  6,0 ",  60 ,  3.000 ,  180.000 
,,074,"Mocorito, Sin.",  23.174 ,  23.174 ,"  12,3 ",  286.076 ,  4.150 ,  1.187.217.392 
,,075,"Rio Fuerte, Sin.",  166.259 ,  166.259 ,"  14,1 ",  2.343.028 ,  3.945 ,  9.243.375.754 
,,076,"Valle Del Carrizo, Sin.",  17.702 ,  17.702 ,"  11,9 ",  211.203 ,  3.792 ,  800.840.919 
,,083,"Papigochic, Chih.",  2.140 ,  2.140 ,"  10,8 ",  23.139 ,  3.494 ,  80.843.927 
,,084,"Guaymas, Son.",  40 ,  40 ,"  6,9 ",  276 ,  3.352 ,  925.207 
,,085,"La Begoña, Gto.",  715 ,  715 ,"  10,8 ",  7.750 ,  4.500 ,  34.874.798 
,,086,"Soto La Marina, Tamps.",  13.435 ,  13.435 ,"  5,7 ",  76.330 ,  4.400 ,  335.851.824 
,,087,"Rosario Mezquite, Mich.",  43.283 ,  43.283 ,"  12,6 ",  545.381 ,  4.400 ,  2.399.674.420 
,,088,"Chiconautla, Mex.",  225 ,  225 ,"  8,0 ",  1.800 ,  3.900 ,  7.020.000 
,,092A,"Rio Panuco, Unidad Animas.",  6.866 ,  6.866 ,"  5,4 ",  36.893 ,  4.769 ,  175.942.800 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  14.391 ,  13.832 ,"  3,5 ",  48.875 ,  5.393 ,  263.594.563 
,,093,"Tomatlan, Jal.",  207 ,  198 ,"  6,0 ",  1.197 ,  4.650 ,  5.565.911 
,,095,"Atoyac, Gro.",  89 ,  89 ,"  2,5 ",  223 ,  4.681 ,  1.044.620 
,,096,"Arroyozarco, Mex.",  1.173 ,  1.173 ,"  2,8 ",  3.284 ,  3.000 ,  9.853.200 
,,097,"Lazaro Cardenas, Mich.",  3.472 ,  3.472 ,"  6,2 ",  21.466 ,  4.362 ,  93.627.180 
,,098,"Jose Maria Morelos, Mich.",  210 ,  210 ,"  4,2 ",  892 ,  5.300 ,  4.729.985 
,,100,"Alfajayucan, Hgo.",  10.485 ,  10.485 ,"  9,7 ",  101.488 ,  4.907 ,  498.029.820 
,,101,"Cuxtepeques, Chis.",  6.245 ,  6.245 ,"  7,1 ",  44.340 ,  4.400 ,  195.093.800 
,,104,"Cuajinicuilapa, Gro.",  411 ,  411 ,"  5,2 ",  2.150 ,  5.551 ,  11.935.813 
,,105,"Nexpa, Gro.",  601 ,  601 ,"  5,1 ",  3.057 ,  5.000 ,  15.283.250 
,,107,"San Gregorio, Chis.",  13.490 ,  13.490 ,"  7,2 ",  97.639 ,  5.300 ,  517.486.700 
,,108,"Elota-Piaxtla, Sin.",  14.081 ,  14.081 ,"  8,5 ",  119.685 ,  4.100 ,  490.709.956 
,,109,"Río San Lorenzo, Sin.",  56.819 ,  56.819 ,"  12,6 ",  715.919 ,  3.607 ,  2.582.292.639 
,,110,"Rio Verde-Progreso, Oax.",  105 ,  105 ,"  4,0 ",  420 ,  4.100 ,  1.722.000 
,,111,"Baluarte-Presidio, Sin.",  1.300 ,  1.300 ,"  12,0 ",  15.600 ,  3.723 ,  58.078.800 
,,112,"Ajacuba, Hgo.",  3.109 ,  3.109 ,"  13,0 ",  40.417 ,  4.700 ,  189.959.900 
Total Maíz grano,,,,  954.557 ,  953.692 ,"  11,2 ",  10.656.221 ,  4.011 ,  42.743.076.964 
Maíz palomero,,026,"Bajo Rio San Juan, Tamps.",  220 ,  220 ,"  1,2 ",  254 ,  6.600 ,  1.676.730 
Total Maíz palomero,,,,  220 ,  220 ,"  1,2 ",  254 ,  6.600 ,  1.676.730 
Mamey,,048,"Ticul, Yuc.",  222 ,  222 ,"  19,3 ",  4.274 ,  5.091 ,  21.758.883 
,,097,"Lazaro Cardenas, Mich.",  11 ,  11 ,"  10,0 ",  110 ,  10.000 ,  1.100.000 
Total Mamey,,,,  233 ,  233 ,"  18,8 ",  4.384 ,  5.214 ,  22.858.883 
Mandarina,,041,"Rio Yaqui, Son.",  520 ,  520 ,"  20,1 ",  10.477 ,  3.538 ,  37.069.155 
,,048,"Ticul, Yuc.",  289 ,  289 ,"  10,4 ",  3.024 ,  3.284 ,  9.931.900 
Total Mandarina,,,,  810 ,  810 ,"  16,7 ",  13.502 ,  3.481 ,  47.001.055 
Mango,,016,"Edo.De Morelos, Mor.",  40 ,  40 ,"  22,0 ",  880 ,  6.500 ,  5.720.000 
,,035,"La Antigua, Ver.",  415 ,  415 ,"  10,0 ",  4.155 ,  4.140 ,  17.199.200 
,,041,"Rio Yaqui, Son.",  103 ,  103 ,"  17,0 ",  1.752 ,  3.706 ,  6.491.191 
,,043,"Edo. De Nayarit, Nay.",  3.236 ,  3.236 ,"  20,0 ",  64.657 ,  3.117 ,  201.549.025 
,,046,"Cacahoatan, Chis.",  1.010 ,  1.010 ,"  13,5 ",  13.635 ,  10.100 ,  137.713.500 
,,048,"Ticul, Yuc.",  58 ,  58 ,"  15,0 ",  874 ,  4.250 ,  3.715.775 
,,053,"Edo. De Colima, Col.",  502 ,  502 ,"  20,3 ",  10.166 ,  4.888 ,  49.687.200 
,,057,"Amuco Cutzamala, Gro.",  2.137 ,  2.137 ,"  11,5 ",  24.642 ,  2.638 ,  65.016.583 
,,068,"Tepecoacuilco, Gro.",  41 ,  41 ,"  8,2 ",  336 ,  2.541 ,  854.440 
,,075,"Rio Fuerte, Sin.",  5.238 ,  5.238 ,"  26,8 ",  140.520 ,  10.394 ,  1.460.632.120 
,,082,"Rio Blanco, Ver.",  1 ,  1 ,"  5,5 ",  6 ,  4.800 ,  26.400 
,,093,"Tomatlan, Jal.",  552 ,  552 ,"  20,0 ",  11.040 ,  3.360 ,  37.094.400 
,,097,"Lazaro Cardenas, Mich.",  13.105 ,  13.105 ,"  17,5 ",  229.442 ,  3.677 ,  843.647.500 
,,098,"Jose Maria Morelos, Mich.",  2.440 ,  2.440 ,"  11,0 ",  26.840 ,  6.300 ,  169.092.000 
,,101,"Cuxtepeques, Chis.",  250 ,  250 ,"  31,0 ",  7.750 ,  5.000 ,  38.750.000 
,,104,"Cuajinicuilapa, Gro.",  15 ,  15 ,"  17,5 ",  263 ,  1.700 ,  446.250 
,,105,"Nexpa, Gro.",  665 ,  665 ,"  18,9 ",  12.544 ,  2.627 ,  32.948.250 
,,110,"Rio Verde-Progreso, Oax.",  222 ,  222 ,"  30,0 ",  6.660 ,  2.700 ,  17.982.000 
,,111,"Baluarte-Presidio, Sin.",  1.150 ,  1.150 ,"  15,1 ",  17.377 ,  4.700 ,  81.669.555 
Total Mango,,,,  31.180 ,  31.180 ,"  18,4 ",  573.537 ,  5.528 ,  3.170.235.388 
Mango Asociado,,095,"Atoyac, Gro.",  1.194 ,  1.194 ,"  25,0 ",  29.840 ,  2.405 ,  71.765.375 
,,098,"Jose Maria Morelos, Mich.",  530 ,  530 ,"  12,0 ",  6.360 ,  6.500 ,  41.340.000 
Total Mango Asociado,,,,  1.724 ,  1.724 ,"  21,0 ",  36.200 ,  3.124 ,  113.105.375 
Manzano,,034,"Edo. De Zacatecas, Zac.",  87 ,  67 ,"  6,0 ",  400 ,  6.000 ,  2.401.200 
,,083,"Papigochic, Chih.",  978 ,  978 ,"  15,2 ",  14.865 ,  7.394 ,  109.906.374 
Total Manzano,,,,  1.065 ,  1.045 ,"  14,6 ",  15.265 ,  7.357 ,  112.307.574 
Melón,,010,"Culiacan-Humaya, Sin.",  7 ,  7 ,"  20,0 ",  140 ,  4.200 ,  588.000 
,,013,"Edo. De Jalisco, Jal.",  10 ,  10 ,"  22,5 ",  225 ,  3.350 ,  753.750 
,,014,"Rio Colorado, BC.",  160 ,  160 ,"  24,7 ",  3.955 ,  4.358 ,  17.236.762 
,,017,"Region Lagunera,Coah.Dgo.",  710 ,  710 ,"  33,8 ",  23.980 ,  4.869 ,  116.766.400 
,,037,"Altar Pitiquito, Son.",  97 ,  97 ,"  33,1 ",  3.214 ,  7.080 ,  22.752.616 
,,041,"Rio Yaqui, Son.",  10 ,  10 ,"  38,0 ",  380 ,  5.672 ,  2.155.360 
,,043,"Edo. De Nayarit, Nay.",  10 ,  10 ,"  20,0 ",  200 ,  4.200 ,  840.000 
,,051,"Costa De Hermosillo, Son.",  1.507 ,  1.507 ,"  26,0 ",  39.155 ,  5.434 ,  212.773.397 
,,053,"Edo. De Colima, Col.",  147 ,  147 ,"  31,2 ",  4.580 ,  5.099 ,  23.352.350 
,,057,"Amuco Cutzamala, Gro.",  887 ,  887 ,"  36,5 ",  32.376 ,  2.640 ,  85.461.100 
,,066,"Sto. Domingo, Bcs.",  23 ,  23 ,"  24,0 ",  551 ,  7.400 ,  4.077.500 
,,074,"Mocorito, Sin.",  11 ,  -   ,  -   ,  -   ,  -   ,  -   
,,084,"Guaymas, Son.",  1.627 ,  1.627 ,"  41,4 ",  67.308 ,  5.483 ,  369.030.167 
,,092A,"Rio Panuco, Unidad Animas.",  58 ,  58 ,"  22,2 ",  1.278 ,  4.679 ,  5.979.100 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  17 ,  17 ,"  29,4 ",  500 ,  6.500 ,  3.250.000 
,,094,"Jalisco Sur, Jal.",  3 ,  3 ,"  28,0 ",  84 ,  5.000 ,  420.000 
,,097,"Lazaro Cardenas, Mich.",  48 ,  48 ,"  42,5 ",  2.040 ,  5.647 ,  11.520.000 
Total Melón,,,,  5.331 ,  5.320 ,"  33,8 ",  179.965 ,  4.873 ,  876.956.502 
Nabo,,003,"Tula, Hgo.",  665 ,  665 ,"  10,4 ",  6.890 ,  3.800 ,  26.182.000 
,,066,"Sto. Domingo, Bcs.",  7 ,  7 ,"  21,5 ",  151 ,  1.850 ,  278.425 
,,112,"Ajacuba, Hgo.",  78 ,  78 ,"  10,0 ",  780 ,  3.800 ,  2.964.000 
Total Nabo,,,,  750 ,  750 ,"  10,4 ",  7.821 ,  3.762 ,  29.424.425 
Nanche,,093,"Tomatlan, Jal.",  25 ,  25 ,"  6,0 ",  150 ,  3.520 ,  528.000 
Total Nanche,,,,  25 ,  25 ,"  6,0 ",  150 ,  3.520 ,  528.000 
Naranja,,014,"Rio Colorado, BC.",  63 ,  63 ,"  15,6 ",  990 ,  4.490 ,  4.443.036 
,,029,"Xicotencatl, Tamps.",  63 ,  63 ,"  18,0 ",  1.134 ,  3.197 ,  3.627.352 
,,037,"Altar Pitiquito, Son.",  78 ,  78 ,"  10,6 ",  828 ,  4.269 ,  3.535.338 
,,041,"Rio Yaqui, Son.",  2.244 ,  2.244 ,"  26,6 ",  59.745 ,  4.312 ,  257.620.171 
,,048,"Ticul, Yuc.",  3.108 ,  3.108 ,"  12,4 ",  38.410 ,  2.919 ,  112.117.885 
,,049,"Rio Verde, S.L.P.",  455 ,  455 ,"  16,0 ",  7.280 ,  7.000 ,  50.960.000 
,,053,"Edo. De Colima, Col.",  2 ,  2 ,"  16,0 ",  32 ,  4.000 ,  128.000 
,,084,"Guaymas, Son.",  454 ,  454 ,"  18,8 ",  8.535 ,  2.448 ,  20.897.328 
,,086,"Soto La Marina, Tamps.",  594 ,  594 ,"  19,9 ",  11.828 ,  2.815 ,  33.295.989 
,,092A,"Rio Panuco, Unidad Animas.",  268 ,  268 ,"  31,9 ",  8.554 ,  2.256 ,  19.294.662 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  208 ,  208 ,"  13,5 ",  2.810 ,  2.300 ,  6.463.920 
,,097,"Lazaro Cardenas, Mich.",  122 ,  122 ,"  23,9 ",  2.916 ,  3.103 ,  9.048.000 
Total Naranja,,,,  7.659 ,  7.659 ,"  18,7 ",  143.062 ,  3.645 ,  521.431.681 
Naranja Asociada,,066,"Sto. Domingo, Bcs.",  2.702 ,  2.702 ,"  22,0 ",  59.444 ,  4.500 ,  267.498.000 
Total Naranja Asociada,,,,  2.702 ,  2.702 ,"  22,0 ",  59.444 ,  4.500 ,  267.498.000 
Nogal (Nuez),,001,"Pabellón, Ags.",  65 ,  65 ,"  2,6 ",  168 ,  63.000 ,  10.565.100 
,,005,"Cd. Delicias, Chih.",  13.830 ,  13.830 ,"  1,9 ",  25.586 ,  70.000 ,  1.790.985.000 
,,006,"Palestina, Coah.",  33 ,  33 ,"  1,2 ",  38 ,  40.800 ,  1.548.360 
,,008,"Meztitlan, Hgo.",  37 ,  37 ,"  9,9 ",  365 ,  81.060 ,  29.612.029 
,,009,"Cd. Juarez, Chih.",  249 ,  249 ,"  1,9 ",  473 ,  116.000 ,  54.879.600 
,,017,"Region Lagunera,Coah.Dgo.",  7.731 ,  7.731 ,"  1,2 ",  9.172 ,  65.114 ,  597.191.437 
,,034,"Edo. De Zacatecas, Zac.",  17 ,  17 ,"  0,8 ",  14 ,  100.000 ,  1.360.000 
,,037,"Altar Pitiquito, Son.",  1.460 ,  1.460 ,"  1,7 ",  2.424 ,  85.929 ,  208.294.179 
,,041,"Rio Yaqui, Son.",  3.378 ,  3.378 ,"  1,8 ",  5.911 ,  85.912 ,  507.838.719 
,,042,"Buenaventura, Chih.",  1.125 ,  1.125 ,"  1,6 ",  1.800 ,  85.000 ,  152.971.440 
,,050,"Acuña Falcon, Tamps.",  301 ,  301 ,"  1,7 ",  512 ,  125.000 ,  63.962.500 
,,051,"Costa De Hermosillo, Son.",  8.570 ,  8.570 ,"  2,0 ",  16.712 ,  87.785 ,  1.467.019.028 
,,052,"Edo. De Durango, Dgo.",  1.032 ,  860 ,"  1,4 ",  1.188 ,  71.483 ,  84.913.510 
,,089,"El Carmen, Chih.",  3.655 ,  3.655 ,"  2,1 ",  7.801 ,  82.000 ,  639.714.800 
,,090,"Bajo Rio Conchos, Chih.",  772 ,  772 ,"  2,2 ",  1.699 ,  113.300 ,  192.528.424 
,,103,"Rio Florido, Chih.",  844 ,  844 ,"  1,6 ",  1.381 ,  68.000 ,  93.901.200 
,,113,"Alto Río Conchos, Chih.",  7.634 ,  7.634 ,"  1,5 ",  11.604 ,  60.000 ,  696.220.800 
Total Nogal (Nuez),,,,  50.733 ,  50.560 ,"  1,7 ",  86.846 ,  75.922 ,  6.593.506.124 
Nopal,Verdura,011,"Alto Rio Lerma, Gto.",  284 ,  284 ,"  13,0 ",  3.687 ,  12.000 ,  44.244.720 
,,014,"Rio Colorado, BC.",  16 ,  16 ,"  5,7 ",  92 ,  6.522 ,  599.163 
,,026,"Bajo Rio San Juan, Tamps.",  1 ,  1 ,"  5,5 ",  6 ,  3.480 ,  19.140 
,,034,"Edo. De Zacatecas, Zac.",  4 ,  4 ,"  34,5 ",  121 ,  2.000 ,  241.500 
,,037,"Altar Pitiquito, Son.",  10 ,  10 ,"  43,5 ",  435 ,  6.671 ,  2.901.668 
,,041,"Rio Yaqui, Son.",  23 ,  23 ,"  19,7 ",  456 ,  4.082 ,  1.861.047 
,,066,"Sto. Domingo, Bcs.",  52 ,  52 ,"  9,5 ",  494 ,  9.350 ,  4.618.900 
Total Nopal,,,,  390 ,  390 ,"  13,6 ",  5.290 ,  10.300 ,  54.486.137 
Okra,,016,"Edo.De Morelos, Mor.",  16 ,  16 ,"  12,0 ",  192 ,  7.200 ,  1.382.400 
,,025,"Bajo Rio Bravo, Tamps.",  2.946 ,  2.946 ,"  5,7 ",  16.705 ,  4.243 ,  70.878.382 
,,068,"Tepecoacuilco, Gro.",  25 ,  25 ,"  8,1 ",  205 ,  6.787 ,  1.390.811 
,,097,"Lazaro Cardenas, Mich.",  6 ,  6 ,"  6,0 ",  36 ,  4.500 ,  162.000 
Total Okra,,,,  2.993 ,  2.993 ,"  5,7 ",  17.138 ,  4.307 ,  73.813.592 
Olivo (Aceituna),,037,"Altar Pitiquito, Son.",  1.665 ,  1.665 ,"  8,0 ",  13.333 ,  13.500 ,  179.997.862 
Total Olivo (Aceituna),,,,  1.665 ,  1.665 ,"  8,0 ",  13.333 ,  13.500 ,  179.997.862 
Olleto (Zacate),Verde,061,"Zamora, Mich.",  123 ,  123 ,"  77,4 ",  9.532 ,  836 ,  7.969.122 
Total Olleto (Zacate),,,,  123 ,  123 ,"  77,4 ",  9.532 ,  836 ,  7.969.122 
Otras Flores,,003,"Tula, Hgo.",  92 ,  92 ,"  7,0 ",  644 ,  7.000 ,  4.508.000 
,,046,"Cacahoatan, Chis.",  1 ,  1 ,"  7,7 ",  8 ,  24.935 ,  190.753 
,,100,"Alfajayucan, Hgo.",  30 ,  30 ,"  4,0 ",  120 ,  5.000 ,  600.000 
Total Otras Flores,,,,  123 ,  123 ,"  6,3 ",  772 ,  6.867 ,  5.298.753 
Otras Hortalizas,,006,"Palestina, Coah.",  5 ,  5 ,"  12,5 ",  63 ,  3.520 ,  220.000 
,,008,"Meztitlan, Hgo.",  81 ,  81 ,"  23,1 ",  1.876 ,  10.182 ,  19.099.311 
,,010,"Culiacan-Humaya, Sin.",  4.611 ,  4.611 ,"  39,9 ",  183.736 ,  20.540 ,  3.773.945.553 
,,016,"Edo.De Morelos, Mor.",  63 ,  63 ,"  15,0 ",  945 ,  6.200 ,  5.859.000 
,,019,"Tehuantepec, Oax.",  692 ,  692 ,"  8,6 ",  5.952 ,  3.500 ,  20.832.560 
