,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,AÑO AGRÍCOLA 2019-2020
,,,,,,,,,
CULTIVO,MODALIDAD,DISTRITO,,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,ha,ha,ton/ha,ton,$/ton,$
Betabel,,014,"Rio Colorado, BC.",  115 ,  115 ,"  15,9 ",  1.833 ,  9.328 ,  17.099.670 
,,025,"Bajo Rio Bravo, Tamps.",  4 ,  4 ,"  14,5 ",  58 ,  4.598 ,  266.684 
Total Betabel,,,,  119 ,  119 ,"  15,9 ",  1.891 ,  9.183 ,  17.366.354 
Brizantha (Zacate),Verde,043,"Edo. De Nayarit, Nay.",  979 ,  979 ,"  24,3 ",  23.819 ,  1.420 ,  33.814.880 
Total Brizantha (Zacate),,,,  979 ,  979 ,"  24,3 ",  23.819 ,  1.420 ,  33.814.880 
Brócoli,,001,"Pabellón, Ags.",  180 ,  180 ,"  19,5 ",  3.502 ,  4.820 ,  16.880.890 
,,003,"Tula, Hgo.",  237 ,  237 ,"  20,0 ",  4.740 ,  7.400 ,  35.076.000 
,,011,"Alto Rio Lerma, Gto.",  2.977 ,  2.977 ,"  20,7 ",  61.484 ,  5.128 ,  315.280.785 
,,014,"Rio Colorado, BC.",  868 ,  868 ,"  15,3 ",  13.246 ,  18.631 ,  246.785.033 
,,041,"Rio Yaqui, Son.",  30 ,  30 ,"  22,0 ",  660 ,  10.851 ,  7.161.660 
,,061,"Zamora, Mich.",  110 ,  110 ,"  22,0 ",  2.417 ,  4.573 ,  11.050.941 
,,085,"La Begoña, Gto.",  194 ,  194 ,"  13,3 ",  2.586 ,  5.090 ,  13.164.000 
Total Brócoli,,,,  4.596 ,  4.596 ,"  19,3 ",  88.635 ,  7.282 ,  645.399.308 
Búffel (Zacate),Verde,004,"Don Martín, N.L.",  2.413 ,  2.413 ,"  40,5 ",  97.640 ,  2.000 ,  195.279.616 
,,006,"Palestina, Coah.",  4 ,  4 ,"  24,5 ",  98 ,  520 ,  50.960 
,,025,"Bajo Rio Bravo, Tamps.",  1.638 ,  1.638 ,"  2,5 ",  4.067 ,  2.200 ,  8.946.301 
,,026,"Bajo Rio San Juan, Tamps.",  644 ,  644 ,"  5,1 ",  3.315 ,  1.413 ,  4.684.264 
,,031,"Las Lajas, N.L.",  222 ,  222 ,"  4,8 ",  1.056 ,  1.550 ,  1.637.420 
,,037,"Altar Pitiquito, Son.",  100 ,  100 ,"  23,5 ",  2.354 ,  875 ,  2.059.750 
,,050,"Acuña Falcon, Tamps.",  1.700 ,  1.700 ,"  42,2 ",  71.808 ,  2.000 ,  143.616.000 
,,051,"Costa De Hermosillo, Son.",  935 ,  935 ,"  25,7 ",  24.010 ,  883 ,  21.200.477 
,,066,"Sto. Domingo, Bcs.",  330 ,  330 ,"  20,0 ",  6.600 ,  750 ,  4.950.000 
,,084,"Guaymas, Son.",  200 ,  200 ,"  25,0 ",  5.000 ,  800 ,  4.000.000 
Total Búffel (Zacate),,,,  8.187 ,  8.187 ,"  26,4 ",  215.947 ,  1.789 ,  386.424.787 
Cacahuate,Fruta,005,"Cd. Delicias, Chih.",  3.669 ,  3.669 ,"  2,5 ",  9.172 ,  16.500 ,  151.342.125 
,,011,"Alto Rio Lerma, Gto.",  230 ,  230 ,"  4,4 ",  1.004 ,  18.459 ,  18.528.402 
,,016,"Edo.De Morelos, Mor.",  31 ,  31 ,"  3,5 ",  109 ,  15.000 ,  1.627.500 
,,017,"Region Lagunera,Coah.Dgo.",  200 ,  200 ,"  0,8 ",  160 ,  22.000 ,  3.520.000 
,,034,"Edo. De Zacatecas, Zac.",  69 ,  69 ,"  1,9 ",  127 ,  19.583 ,  2.494.125 
,,048,"Ticul, Yuc.",  7 ,  4 ,"  1,6 ",  6 ,  17.100 ,  110.979 
,,068,"Tepecoacuilco, Gro.",  26 ,  26 ,"  3,1 ",  79 ,  9.500 ,  750.975 
,,085,"La Begoña, Gto.",  14 ,  14 ,"  5,3 ",  74 ,  19.063 ,  1.404.433 
,,089,"El Carmen, Chih.",  73 ,  73 ,"  4,5 ",  329 ,  12.600 ,  4.139.100 
