,,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,,AÑO AGRÍCOLA 2010-2011
,,,,,,,,,,
DISTRITO,,CICLO,MODALIDAD,CULTIVO,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,,ha,ha,ton/ha,ton,$/ton,$
,,,,Trigo Grano,38.953,38.953,"7,1",275.588,3.473,957.037.170
,,,,Zanahoria,384,384,"30,2",11.608,1.542,17.894.491
,,Primavera-Verano,Riego,Avena Forrajera,36,36,"9,0",329,1.374,452.578
,,,,Brócoli,59,59,"12,0",715,4.200,3.001.522
,,,,Cacahuate,310,310,"4,0",1.226,12.529,15.363.964
,,,,Calabacita (calabacín),6,6,"18,1",113,3.760,425.313
,,,,Camote,45,45,"26,6",1.192,3.000,3.574.913
,,,,Cebolla,103,103,"26,7",2.747,2.042,5.611.531
,,,,Chile,45,45,"9,9",443,4.574,2.024.247
,,,,Col (Repollo),6,6,"34,2",219,2.739,600.374
,,,,Frijol Asociado,164,164,"2,0",334,10.607,3.547.040
,,,,Garbanzo,124,124,"4,3",527,3.486,1.835.930
,,,,Jitomate (tomate rojo),7,7,"18,0",121,1.200,144.936
,,,,Lechuga,31,31,"26,6",829,3.037,2.516.258
,,,,Maíz grano,3.547,3.547,"10,1",35.752,4.906,175.380.960
,,,,Sandía,2,2,"19,8",49,3.000,145.530
,,,,Sorgo Grano,5.743,5.743,"9,8",56.257,4.150,233.439.334
,,,,Tomate de cáscara (Tomatillo),268,268,"27,2",7.282,2.031,14.786.797
,,,,Zanahoria,15,15,"36,5",564,1.344,757.442
,,Perennes,Riego,Agave (Maguey),3,3,"100,0",328,1.000,328.000
,,,,Alfalfa,3.327,3.327,"25,2",83.895,1.657,139.032.114
,,,,Chayote,14,14,"30,0",417,1.500,625.950
,,,,Durazno (Melocotón),1,1,"4,0",4,7.500,30.000
,,,,Espárrago,2.006,2.006,"6,2",12.411,24.782,307.573.404
,,,,Fresa,441,441,"36,2",15.954,5.997,95.672.296
,,,,Guayabo,15,15,"3,1",48,4.500,216.909
,,,,Nopal,166,166,"21,5",3.561,3.984,14.186.601
,,,,Rye Grass (Zacate ballico),24,24,"31,2",749,1.650,1.235.520
,,,,Vid,2,2,"4,2",9,10.500,93.492
