,,,,,,,,,,,,,,,,SUPERFICIES FÍSICAS REGADAS Y VOLÚMENES DISTRIBUÍDOS
,,,,,,,,,,,,,,,,AÑO AGRÍCOLA 1997-1998
,,,,,,,,,,,,,,,,
DISTRITO,,NUMERO DE CULTIVOS,CONCEPTO,GRAVEDAD-PRESAS,,,GRAVEDAD-DERIVACION,,,BOMBEO CORRIENTES,,,BOMBEO POZOS,,,Total general
,,,,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,
,,,Lamina Bruta (cm),42,42,42,0,0,0,0,0,0,35,35,35,36
Suma de Usuarios 011,,,,5.050,6.100,11.150,,,,,,,7.840,9.488,17.328,28.478
Suma de Superficie Física Regada 011,,,,26.123,31.611,57.734,,,,,,,30.064,36.379,66.443,124.177
Suma de Volumen Bruto 011,,,,133.116,161.082,294.197,,,,,,,191.176,231.339,422.515,716.712
Lámina Bruta 011,,,,51,51,51,0,0,0,0,0,0,64,64,64,58
013,"Edo. De Jalisco, Jal.",1 cultivo,Usuarios,3.995,655,4.650,1.752,217,1.969,1.515,194,1.709,,,,8.328
,,,Superficie Física Regada (ha),9.327,2.976,12.302,5.593,752,6.346,5.171,2.434,7.605,,,,26.253
,,,Volumen Bruto (miles m3),69.130,18.011,87.141,69.029,7.638,76.666,34.457,16.235,50.692,,,,214.499
,,,Lamina Bruta (cm),74,61,71,123,102,121,67,67,67,0,0,0,82
,,2 cultivos,Usuarios,92,13,105,245,10,255,52,,52,,,,412
,,,Superficie Física Regada (ha),277,76,353,859,20,879,103,,103,,,,1.334
,,,Volumen Bruto (miles m3),905,247,1.151,2.555,167,2.722,594,,594,,,,4.466
,,,Lamina Bruta (cm),33,33,33,30,84,31,58,0,58,0,0,0,33
Suma de Usuarios 013,,,,4.087,668,4.755,1.997,227,2.224,1.567,194,1.761,,,,8.740
Suma de Superficie Física Regada 013,,,,9.604,3.051,12.655,6.452,772,7.224,5.274,2.434,7.708,,,,27.587
Suma de Volumen Bruto 013,,,,70.034,18.257,88.292,71.584,7.805,79.388,35.050,16.235,51.286,,,,218.965
Lámina Bruta 013,,,,73,60,70,111,101,110,66,67,67,0,0,0,79
014,"Rio Colorado, BC.",1 cultivo,Usuarios,,,,4.562,4.537,9.099,,,,1.863,1.963,3.826,12.925
,,,Superficie Física Regada (ha),,,,59.310,62.612,121.922,,,,31.240,32.979,64.219,186.141
,,,Volumen Bruto (miles m3),,,,851.337,959.808,1.811.145,,,,384.770,406.188,790.958,2.602.103
,,,Lamina Bruta (cm),0,0,0,144,153,149,0,0,0,123,123,123,140
,,2 cultivos,Usuarios,,,,232,226,458,,,,66,62,128,586
,,,Superficie Física Regada (ha),,,,2.981,2.811,5.792,,,,984,929,1.913,7.705
,,,Volumen Bruto (miles m3),,,,32.100,30.270,62.370,,,,6.637,6.265,12.902,75.272
,,,Lamina Bruta (cm),0,0,0,108,108,108,0,0,0,67,67,67,98
Suma de Usuarios 014,,,,,,,4.794,4.763,9.557,,,,1.929,2.025,3.954,13.511
Suma de Superficie Física Regada 014,,,,,,,62.291,65.423,127.714,,,,32.224,33.908,66.132,193.846
Suma de Volumen Bruto 014,,,,,,,883.437,990.078,1.873.515,,,,391.407,412.453,803.860,2.677.375
Lámina Bruta 014,,,,0,0,0,142,151,147,0,0,0,121,122,122,138
016,"Edo.De Morelos, Mor.",1 cultivo,Usuarios,870,297,1.167,10.202,2.430,12.632,,,,,,,13.799
,,,Superficie Física Regada (ha),896,298,1.194,19.282,4.820,24.102,,,,,,,25.296
,,,Volumen Bruto (miles m3),8.640,2.880,11.520,458.037,114.509,572.546,,,,,,,584.066
,,,Lamina Bruta (cm),96,97,96,238,238,238,0,0,0,0,0,0,231
,,2 cultivos,Usuarios,,,,1.630,401,2.031,,,,,,,2.031
,,,Superficie Física Regada (ha),,,,2.727,682,3.409,,,,,,,3.409
,,,Volumen Bruto (miles m3),,,,38.462,9.615,48.077,,,,,,,48.077
,,,Lamina Bruta (cm),0,0,0,141,141,141,0,0,0,0,0,0,141
Suma de Usuarios 016,,,,870,297,1.167,11.832,2.831,14.663,,,,,,,15.830
Suma de Superficie Física Regada 016,,,,896,298,1.194,22.009,5.502,27.511,,,,,,,28.705
Suma de Volumen Bruto 016,,,,8.640,2.880,11.520,496.499,124.124,620.623,,,,,,,632.143
Lámina Bruta 016,,,,96,97,96,226,226,226,0,0,0,0,0,0,220
017,"Region Lagunera,Coah.Dgo.",1 cultivo,Usuarios,30.995,2.255,33.250,,,,,,,,,,33.250
,,,Superficie Física Regada (ha),38.836,10.536,49.372,,,,,,,,,,49.372
,,,Volumen Bruto (miles m3),667.763,181.160,848.923,,,,,,,,,,848.923
,,,Lamina Bruta (cm),172,172,172,0,0,0,0,0,0,0,0,0,172
Suma de Usuarios 017,,,,30.995,2.255,33.250,,,,,,,,,,33.250
Suma de Superficie Física Regada 017,,,,38.836,10.536,49.372,,,,,,,,,,49.372
Suma de Volumen Bruto 017,,,,667.763,181.160,848.923,,,,,,,,,,848.923
Lámina Bruta 017,,,,172,172,172,0,0,0,0,0,0,0,0,0,172
018,"Colonias Yaquis, Son.",1 cultivo,Usuarios,1.425,,1.425,,,,,,,,,,1.425
,,,Superficie Física Regada (ha),13.811,,13.811,,,,,,,,,,13.811
,,,Volumen Bruto (miles m3),185.537,,185.537,,,,,,,,,,185.537
,,,Lamina Bruta (cm),134,0,134,0,0,0,0,0,0,0,0,0,134
,,2 cultivos,Usuarios,365,,365,,,,,,,,,,365
,,,Superficie Física Regada (ha),3.540,,3.540,,,,,,,,,,3.540
,,,Volumen Bruto (miles m3),79.888,,79.888,,,,,,,,,,79.888
